ligand_i	ligand_j	DDG(i->j) (kcal/mol)	uncertainty (kcal/mol)
ligand_1	ligand_12	1.2	0.1
ligand_1	ligand_13	0.6	0.3
ligand_1	ligand_6	0.6	0.2
ligand_12	ligand_13	-0.36	0.05
ligand_12	ligand_14	-1.1	0.3
ligand_13	ligand_14	-0.41	0.04
ligand_2	ligand_1	2.4	0.3
ligand_2	ligand_5	0.4	0.1
ligand_2	ligand_6	2.64	0.06
ligand_3	ligand_2	1.48	0.03
ligand_3	ligand_4	0.9	0.1
ligand_4	ligand_1	2.6	0.4
ligand_4	ligand_2	0.4	0.2
ligand_4	ligand_5	0.7	0.1
ligand_4	ligand_8	0.00	0.09
ligand_5	ligand_10	-0.9	0.1
ligand_6	ligand_11	-2.5	0.3
ligand_6	ligand_12	0.9	0.1
ligand_6	ligand_13	0.4	0.2
ligand_6	ligand_7	-2.2	0.1
ligand_6	ligand_9	-3.45	0.06
ligand_7	ligand_9	-1.1	0.2
ligand_8	ligand_10	-0.07	0.04
ligand_8	ligand_11	0.3	0.3
ligand_8	ligand_5	0.8	0.2
ligand_9	ligand_10	0.32	0.04
